Watchlist 'SPX WL'

SPX WL
Symbol,Last,PTS,Sell-Pressure %,Flow Press STATE,GEX PROXY $M,OI Market Val $M,Vol/OI turnover,SESS GRS Prem $M,Fresh GRS Prem$M,Dollar Flow $M,Net Prem,REC Flow Con,Score,Session flow con,High,Underlying Move ,Low,Net Chng,%Change,Open.Int,Volume,Mark,Bid,Ask
.SPXW260612P7350,.03,68.5,78.0,PUT_SELL_PRESSURE,-119.27,0.02,8.7,33.27,NaN,NaN,NaN,NaN,LOW | 3,50.4,27.00,0.03,.03,-16.53,-99.82%,"5,589","48,859",.025,0,.05
.SPXW260612C7490,.03,71.9,46.0,MIXED,29.72,0.0,23.8,12.37,NaN,NaN,NaN,NaN,LOW | 9,83.6,10.50,-0.03,.02,-6.07,-99.51%,"1,466","34,832",.025,0,.05
.SPXW260612C7495,.03,76.5,83.0,CALL_SELL_PRESSURE,27.36,0.0,19.2,8.72,NaN,NaN,NaN,NaN,LOW | 5,56.8,9.40,0.04,.02,-5.37,-99.44%,"1,520","29,231",.025,0,.05
.SPXW260612P7340,.03,78.5,38.0,PUT_BUY_PRESSURE,-21.84,0.0,20.5,15.5,NaN,NaN,NaN,NaN,LOW | 25,80.8,22.66,-0.02,.03,-14.51,-99.79%,"1,290","26,465",.025,0,.05
.SPXW260612C7500,.05,81.5,95.0,CALL_SELL_PRESSURE,142.47,0.04,11.8,26.29,NaN,NaN,NaN,NaN,LOW | 5,60.5,8.50,-0.03,.02,-4.65,-98.94%,"8,509","100,473",.025,0,.05
.SPXW260612C7505,.03,86.5,NaN,INSUFFICIENT_DATA,26.32,0.01,12.7,5.44,NaN,NaN,NaN,NaN,LOW | 0,29.6,7.30,-0.05,.03,-4.21,-99.29%,"1,715","21,792",.025,0,.05
.SPXW260612P7330,.03,88.4,68.0,PUT_SELL_PRESSURE,-15.45,0.0,21.6,12.06,NaN,NaN,NaN,NaN,LOW | 0,74.9,19.70,0.04,.03,-12.21,-99.75%,"1,121","24,189",.025,0,.05
.SPXW260612C7510,.03,91.6,47.0,MIXED,57.2,0.01,7.1,6.16,NaN,NaN,NaN,NaN,LOW | 6,17.7,6.39,0.04,.02,-3.77,-99.21%,"4,172","29,693",.025,0,.05
.SPXW260612P7325,.03,93.5,68.0,PUT_SELL_PRESSURE,-30.11,0.01,11.9,13.6,NaN,NaN,NaN,NaN,LOW | 5,44.1,18.11,-0.04,.03,-11.25,-99.73%,"2,396","28,632",.025,0,.05
.SPXW260612C7515,.05,96.6,NaN,INSUFFICIENT_DATA,27.71,0.01,10.1,4.66,NaN,NaN,NaN,NaN,LOW | 0,21.8,5.60,-0.08,.02,-3.29,-98.50%,"2,210","22,328",.025,0,.05
.SPXW260612P7320,.03,98.5,83.0,PUT_SELL_PRESSURE,-38.79,0.01,7.7,10.31,NaN,NaN,NaN,NaN,LOW | 15,24.8,16.82,0.01,.03,-10.59,-99.72%,"3,369","25,996",.025,0,.05
.SPXW260612C7520,.03,101.9,NaN,INSUFFICIENT_DATA,29.25,0.01,8.9,3.88,NaN,NaN,NaN,NaN,LOW | 0,17.6,5.00,0.04,.03,-2.97,-99.00%,"2,540","22,641",.025,0,.05
.SPXW260612C7525,.03,107.0,NaN,INSUFFICIENT_DATA,88.99,0.03,3.2,3.94,NaN,NaN,NaN,NaN,LOW | 0,6.3,4.30,-0.01,.03,-2.61,-98.86%,"8,380","26,604",.025,0,.05
.SPXW260612P7300,.03,118.4,69.0,PUT_SELL_PRESSURE,-46.01,0.02,8.4,13.79,NaN,NaN,NaN,NaN,LOW | 3,31.3,12.40,0.04,.03,-7.77,-99.62%,"5,467","46,045",.025,0,.05
.SPXW260612C7550,.03,131.5,82.0,CALL_SELL_PRESSURE,67.82,0.03,2.3,1.64,NaN,NaN,NaN,NaN,LOW | 0,3.0,2.30,-0.12,.03,-1.41,-97.92%,"9,163","21,233",.025,0,.05
.SPXW260612P7250,.03,168.4,NaN,INSUFFICIENT_DATA,-34.09,0.02,3.2,3.91,NaN,NaN,NaN,NaN,LOW | 12,6.4,5.62,-0.12,.03,-3.77,-99.21%,"7,312","23,615",.025,0,.05
